Date;SP_CC_Fin_Index
15.12.17;100
18.12.17;149,57
19.12.17;155,77
20.12.17;161,24
21.12.17;147,93
22.12.17;133,25
25.12.17;147,19
26.12.17;152,46
27.12.17;154,27
28.12.17;149,95
29.12.17;163,64
01.01.18;180,75
02.01.18;216,53
03.01.18;243,28
04.01.18;234,14
05.01.18;240,43
08.01.18;260,85
09.01.18;288,58
10.01.18;273,32
11.01.18;257,33
12.01.18;283,66
15.01.18;339,96
16.01.18;236,61
17.01.18;244,84
18.01.18;270,7
19.01.18;254,47
22.01.18;219,31
23.01.18;235,93
24.01.18;249,4
25.01.18;257,79
26.01.18;249,66
29.01.18;276,79
30.01.18;242,77
31.01.18;244,28
01.02.18;220,04
02.02.18;196,98
05.02.18;151,37
06.02.18;172,49
07.02.18;190,9
08.02.18;188,39
09.02.18;195,58
12.02.18;191,04
13.02.18;188,48
14.02.18;200,65
15.02.18;208,11
16.02.18;212,69
19.02.18;226,21
20.02.18;216,21
21.02.18;193,52
22.02.18;188,38
23.02.18;190,54
26.02.18;209,33
27.02.18;222,47
28.02.18;213,93
01.03.18;209,7
02.03.18;203,41
05.03.18;187,83
06.03.18;172,22
07.03.18;160,03
08.03.18;151,61
09.03.18;146,74
12.03.18;137,73
13.03.18;140,84
14.03.18;123,42
15.03.18;118,96
16.03.18;123,21
19.03.18;115,88
20.03.18;131,32
21.03.18;127,3
22.03.18;123,26
23.03.18;124,77
26.03.18;111,93
27.03.18;112,13
28.03.18;111,65
29.03.18;102,96
30.03.18;97,33
02.04.18;100,59
03.04.18;109,72
04.04.18;97,71
05.04.18;97,67
06.04.18;94,64
09.04.18;98,73
10.04.18;102,94
11.04.18;110,18
12.04.18;119,5
13.04.18;129,38
16.04.18;129,86
17.04.18;131,43
18.04.18;139,73
19.04.18;146,01
20.04.18;154,77
23.04.18;154,72
24.04.18;170,31
25.04.18;150,87
26.04.18;151,55
27.04.18;154,14
30.04.18;173,22
01.05.18;166,59
02.05.18;168,78
03.05.18;175,68
04.05.18;171,04
07.05.18;161,23
08.05.18;158,36
09.05.18;159,02
10.05.18;149,43
11.05.18;137,54
14.05.18;141,14
15.05.18;137,88
16.05.18;128,58
17.05.18;127,42
18.05.18;132,83
21.05.18;133,21
22.05.18;127,25
23.05.18;112,27
24.05.18;116,43
25.05.18;111,09
28.05.18;102,88
29.05.18;111,21
30.05.18;107,03
31.05.18;114,16
01.06.18;115,42
04.06.18;114,08
05.06.18;117,78
06.06.18;116,61
07.06.18;119,29
08.06.18;115,4
11.06.18;96,2
12.06.18;93,31
13.06.18;86,99
14.06.18;94,34
15.06.18;92,23
18.06.18;94,53
19.06.18;94,8
20.06.18;92,86
21.06.18;92,4
22.06.18;84,57
25.06.18;79,59
26.06.18;76,06
27.06.18;75,71
28.06.18;76,5
29.06.18;72,1
02.07.18;86,24
03.07.18;85,64
04.07.18;89,09
05.07.18;88,3
06.07.18;85,6
09.07.18;86,31
10.07.18;79,85
11.07.18;77,06
12.07.18;74,69
13.07.18;75,46
16.07.18;83,99
17.07.18;89,9
18.07.18;88,08
19.07.18;84,41
20.07.18;78,29
23.07.18;77,66
24.07.18;80,21
25.07.18;81,31
26.07.18;83,03
27.07.18;81,54
30.07.18;78,15
31.07.18;75,14
01.08.18;73,66
02.08.18;71,74
03.08.18;72,13
06.08.18;69,39
07.08.18;68,79
08.08.18;59,79
09.08.18;60,94
10.08.18;58,79
13.08.18;48,69
14.08.18;42,26
15.08.18;46,35
16.08.18;47,08
17.08.18;51,19
20.08.18;49,06
21.08.18;47,87
22.08.18;46,76
23.08.18;47,24
24.08.18;49,66
27.08.18;53,7
28.08.18;57,28
29.08.18;54,58
30.08.18;51,24
31.08.18;54,69
03.09.18;58,79
04.09.18;59,96
05.09.18;52,34
06.09.18;50,47
07.09.18;50,37
10.09.18;46,95
11.09.18;45,29
12.09.18;44,74
13.09.18;46,56
14.09.18;48,42
17.09.18;45,44
18.09.18;46,31
19.09.18;46,81
20.09.18;47,81
21.09.18;52,56
24.09.18;50,41
25.09.18;46,87
26.09.18;48,27
27.09.18;50,33
28.09.18;50,65
01.10.18;49,61
02.10.18;49,61
03.10.18;48,73
04.10.18;49,57
05.10.18;49,93
08.10.18;51,18
09.10.18;50,19
10.10.18;50,24
11.10.18;44,72
12.10.18;44,63
15.10.18;46,15
16.10.18;46,35
17.10.18;47,14
18.10.18;46,35
19.10.18;46,33
22.10.18;47,29
23.10.18;47,24
24.10.18;47,65
25.10.18;46,93
26.10.18;46,5
29.10.18;44,85
30.10.18;44,81
31.10.18;45,44
01.11.18;45,83
02.11.18;46,81
05.11.18;46,74
06.11.18;47,49
07.11.18;47,78
08.11.18;47,01
09.11.18;45,92
12.11.18;45,26
13.11.18;44,32
14.11.18;37,54
15.11.18;36,97
16.11.18;36,72
19.11.18;30,33
20.11.18;25,8
21.11.18;26,73
22.11.18;27,06
23.11.18;24,95
26.11.18;21,61
27.11.18;21,7
28.11.18;25,55
29.11.18;24,64
30.11.18;23,4
03.12.18;22,65
04.12.18;24,39
05.12.18;24,09
06.12.18;21,25
07.12.18;18,85
10.12.18;19,4
11.12.18;19,33
12.12.18;20,21
13.12.18;18,68
14.12.18;18,22
17.12.18;21,21
18.12.18;21,04
19.12.18;22,36
20.12.18;22,62
21.12.18;22,16
24.12.18;25,36
25.12.18;23,3
26.12.18;23,31
27.12.18;21,61
28.12.18;24,97
31.12.18;23,79
01.01.19;23,94
02.01.19;25,19
03.01.19;24,02
04.01.19;24,54
07.01.19;25,8
08.01.19;27,14
09.01.19;26,87
10.01.19;23,55
11.01.19;24,25
14.01.19;24,53
15.01.19;23,08
16.01.19;24,66
17.01.19;25,4
18.01.19;25,82
21.01.19;26,24
22.01.19;26,43
23.01.19;25,61
24.01.19;25,76
25.01.19;26,08
28.01.19;23,63
29.01.19;23,82
30.01.19;23,94
31.01.19;23,61
