Date;SP_CC_DeFi_Top15_Index
18.12.20;1000
21.12.20;938,96
22.12.20;983,67
23.12.20;939,62
24.12.20;925,07
25.12.20;944,78
28.12.20;992,7
29.12.20;958,72
30.12.20;965,72
31.12.20;963,32
01.01.21;983,47
04.01.21;1130,74
05.01.21;1274,48
06.01.21;1384,28
07.01.21;1476,36
08.01.21;1336
11.01.21;1377,43
12.01.21;1628,2
13.01.21;1678,32
14.01.21;1708,29
15.01.21;1601,53
18.01.21;1790,83
19.01.21;1765,6
20.01.21;1731,72
21.01.21;1567,8
22.01.21;1699,97
25.01.21;1766,69
26.01.21;1805,73
27.01.21;1750,88
28.01.21;1911,35
29.01.21;1823,3
01.02.21;1997,53
02.02.21;2051,21
03.02.21;2135,04
04.02.21;2595,13
05.02.21;2944,84
08.02.21;2855,73
09.02.21;2985,98
10.02.21;2980,62
11.02.21;3182,94
12.02.21;3492,73
15.02.21;3231,54
16.02.21;2987,32
17.02.21;3096,2
18.02.21;3181,19
19.02.21;3102,61
22.02.21;2905,24
23.02.21;2445,09
24.02.21;2683,1
25.02.21;2716,9
26.02.21;2458,52
01.03.21;2701,67
02.03.21;2747,51
03.03.21;2925,56
04.03.21;2797,53
05.03.21;2801,41
08.03.21;2928,19
09.03.21;3013,97
10.03.21;2929,01
11.03.21;2952,61
12.03.21;2787,11
15.03.21;2766,48
16.03.21;2770,21
17.03.21;2871,72
18.03.21;2876,73
19.03.21;2998,63
22.03.21;2923,13
23.03.21;2809,2
24.03.21;2617,1
25.03.21;2489,01
26.03.21;2625,46
29.03.21;2777,86
30.03.21;2829,42
31.03.21;2756,49
01.04.21;2918,72
02.04.21;3024,81
05.04.21;3122,64
06.04.21;3127,47
07.04.21;2832,22
08.04.21;3001,2
09.04.21;3072,77
12.04.21;3348,68
13.04.21;3337,71
14.04.21;3239,39
15.04.21;3770,3
16.04.21;3628,29
19.04.21;3210,62
20.04.21;3215,91
21.04.21;3418,48
22.04.21;3432,99
23.04.21;3185,06
26.04.21;3404,16
27.04.21;3648,82
28.04.21;3800,85
29.04.21;3636,41
30.04.21;3779,55
03.05.21;4134,58
04.05.21;4011,66
05.05.21;4062,95
06.05.21;3928,16
07.05.21;3966,55
10.05.21;3690,36
11.05.21;4005,2
12.05.21;4113,45
13.05.21;3605,37
14.05.21;3980,83
17.05.21;3522,46
18.05.21;3736,98
19.05.21;2767,08
20.05.21;2804,5
21.05.21;2327,31
24.05.21;2550,29
25.05.21;2386,32
26.05.21;2602,29
27.05.21;2674,42
28.05.21;2446,19
31.05.21;2552,47
01.06.21;2500,9
02.06.21;2671,55
03.06.21;2663,16
04.06.21;2539,1
07.06.21;2475,31
08.06.21;2204,24
09.06.21;2274,47
10.06.21;2182,04
11.06.21;2061,69
14.06.21;2174,85
15.06.21;2158
16.06.21;2076,23
17.06.21;2010,82
18.06.21;1822,77
21.06.21;1592,14
22.06.21;1505,57
23.06.21;1544,96
24.06.21;1674,35
25.06.21;1495,02
28.06.21;1674,27
29.06.21;1777,93
30.06.21;1729,49
01.07.21;1680,86
02.07.21;1683,68
05.07.21;1938,44
06.07.21;2085,31
07.07.21;2117,13
08.07.21;1943,3
09.07.21;1937,52
12.07.21;1855,06
13.07.21;1765,22
14.07.21;1747,48
15.07.21;1693,37
16.07.21;1635,97
19.07.21;1502,78
20.07.21;1431,66
21.07.21;1547,72
22.07.21;1665,29
23.07.21;1612,27
26.07.21;1853,15
