Date;SP_CC_DeFi_Index
15.12.17;100
18.12.17;160,57
19.12.17;158,57
20.12.17;161,14
21.12.17;146,83
22.12.17;127,4
25.12.17;133,27
26.12.17;135,08
27.12.17;139,32
28.12.17;138,5
29.12.17;153,12
01.01.18;171,71
02.01.18;217,38
03.01.18;251,37
04.01.18;237,79
05.01.18;228,91
08.01.18;244,51
09.01.18;286,93
10.01.18;275,83
11.01.18;251,91
12.01.18;278,33
15.01.18;394,16
16.01.18;270,79
17.01.18;287,17
18.01.18;313,63
19.01.18;287,84
22.01.18;244,09
23.01.18;261,05
24.01.18;281,34
25.01.18;291,71
26.01.18;280,3
29.01.18;325,34
30.01.18;286,54
31.01.18;286,25
01.02.18;260,23
02.02.18;233,79
05.02.18;179,66
06.02.18;207,36
07.02.18;231,67
08.02.18;224,59
09.02.18;229,53
12.02.18;228,21
13.02.18;224,65
14.02.18;240,41
15.02.18;247,21
16.02.18;255,35
19.02.18;275,41
20.02.18;262,13
21.02.18;234,4
22.02.18;227,53
23.02.18;232,04
26.02.18;260,2
27.02.18;275,18
28.02.18;262,23
01.03.18;255,66
02.03.18;245,52
05.03.18;229,49
06.03.18;211,28
07.03.18;197,63
08.03.18;186,58
09.03.18;181,03
12.03.18;169,66
13.03.18;166,87
14.03.18;145,97
15.03.18;139,43
16.03.18;143,98
19.03.18;136,07
20.03.18;157,46
21.03.18;146,83
22.03.18;139,94
23.03.18;134,91
26.03.18;115,85
27.03.18;115,5
28.03.18;115,5
29.03.18;107,14
30.03.18;101,76
02.04.18;99,85
03.04.18;109,45
04.04.18;98,03
05.04.18;96,13
06.04.18;92,95
09.04.18;102,43
10.04.18;106,59
11.04.18;118,44
12.04.18;127,06
13.04.18;136,01
16.04.18;133,84
17.04.18;135,27
18.04.18;146,42
19.04.18;150,42
20.04.18;158,71
23.04.18;156,36
24.04.18;173,58
25.04.18;152,49
26.04.18;150,88
27.04.18;154,01
30.04.18;176,71
01.05.18;169,36
02.05.18;172,23
03.05.18;181,78
04.05.18;176,64
07.05.18;167,58
08.05.18;162,85
09.05.18;158,2
10.05.18;151,3
11.05.18;137,93
14.05.18;141,06
15.05.18;134,97
16.05.18;126,96
17.05.18;121,58
18.05.18;124,84
21.05.18;129,37
22.05.18;121,4
23.05.18;110,17
24.05.18;113,16
25.05.18;107,84
28.05.18;101,84
29.05.18;109,49
30.05.18;105,08
31.05.18;110,74
01.06.18;113,01
04.06.18;110,37
05.06.18;113,47
06.06.18;109,69
07.06.18;111,62
08.06.18;109,01
11.06.18;90,21
12.06.18;86,22
13.06.18;78,56
14.06.18;85,6
15.06.18;82,09
18.06.18;82,44
19.06.18;83,45
20.06.18;81,28
21.06.18;78,64
22.06.18;71,24
25.06.18;66,34
26.06.18;63,69
27.06.18;63,93
28.06.18;63,11
29.06.18;58,76
02.07.18;75,84
03.07.18;75,73
04.07.18;80,87
05.07.18;82,12
06.07.18;77,34
09.07.18;77,13
10.07.18;71,58
11.07.18;68,28
12.07.18;65,97
13.07.18;67,47
16.07.18;74,76
17.07.18;81,05
18.07.18;79,01
19.07.18;74,87
20.07.18;69,77
23.07.18;67,61
24.07.18;70,87
25.07.18;71,06
26.07.18;72,37
27.07.18;69,6
30.07.18;67
31.07.18;62,85
01.08.18;60,76
02.08.18;58,13
03.08.18;57,47
06.08.18;55,24
07.08.18;54,08
08.08.18;47,17
09.08.18;47,04
10.08.18;44,29
13.08.18;35,03
14.08.18;31,27
15.08.18;35,18
16.08.18;35,92
17.08.18;40,5
20.08.18;38,82
21.08.18;37,64
22.08.18;36,05
23.08.18;36,45
24.08.18;38,07
27.08.18;41,98
28.08.18;45,12
29.08.18;41,96
30.08.18;39,37
31.08.18;42,63
03.09.18;48,07
04.09.18;50,33
05.09.18;42,72
06.09.18;41,17
07.09.18;41,12
10.09.18;38,12
11.09.18;36,23
12.09.18;35,89
13.09.18;36,95
14.09.18;37,62
17.09.18;35,01
18.09.18;35,49
19.09.18;35,99
20.09.18;36,84
21.09.18;41,91
24.09.18;39,81
25.09.18;36,81
26.09.18;38,08
27.09.18;39,99
28.09.18;40,33
01.10.18;39,27
02.10.18;39,05
03.10.18;37,89
04.10.18;38,46
05.10.18;38,2
08.10.18;40,17
09.10.18;39,15
10.10.18;39,12
11.10.18;34,19
12.10.18;33,95
15.10.18;35,17
16.10.18;35,54
17.10.18;36,54
18.10.18;35,97
19.10.18;35,7
22.10.18;36,36
23.10.18;36,17
24.10.18;36,36
25.10.18;35,85
26.10.18;35,15
29.10.18;33,47
30.10.18;33,2
31.10.18;33,81
01.11.18;34,02
02.11.18;35,29
05.11.18;35,41
06.11.18;36,5
07.11.18;36,46
08.11.18;35,93
09.11.18;34,79
12.11.18;34,64
13.11.18;33,99
14.11.18;29,17
15.11.18;28,03
16.11.18;28
19.11.18;22,78
20.11.18;19,61
21.11.18;19,87
22.11.18;19,71
23.11.18;18,28
26.11.18;15,92
27.11.18;15,78
28.11.18;18,93
29.11.18;18,34
30.11.18;17,34
03.12.18;16,32
04.12.18;16,65
05.12.18;15,61
06.12.18;14,73
07.12.18;13,19
10.12.18;13,6
11.12.18;12,93
12.12.18;13,65
13.12.18;12,57
14.12.18;12,36
17.12.18;14,67
18.12.18;14,34
19.12.18;15,2
20.12.18;15,52
21.12.18;15
24.12.18;18,01
25.12.18;16,51
26.12.18;16,54
27.12.18;15,1
28.12.18;17,4
31.12.18;16,21
01.01.19;16,72
02.01.19;17,43
03.01.19;16,77
04.01.19;16,63
07.01.19;18,27
08.01.19;19,12
09.01.19;19,74
10.01.19;16,92
11.01.19;17,29
14.01.19;17,24
15.01.19;16,31
16.01.19;16,88
17.01.19;17,3
18.01.19;16,9
21.01.19;16,8
22.01.19;17,02
23.01.19;16,58
24.01.19;16,88
25.01.19;16,58
28.01.19;15,73
29.01.19;15,78
30.01.19;15,53
31.01.19;15,07
01.02.19;15,26
04.02.19;15,19
05.02.19;15,1
06.02.19;14,76
07.02.19;14,98
08.02.19;16,49
11.02.19;17,43
12.02.19;17,68
13.02.19;17,35
14.02.19;16,97
15.02.19;17,27
18.02.19;18,83
19.02.19;19,59
20.02.19;19,43
21.02.19;18,47
22.02.19;18,86
25.02.19;19,38
26.02.19;19,12
27.02.19;18,36
28.02.19;18,91
01.03.19;19,31
04.03.19;17,71
05.03.19;18,78
06.03.19;18,64
07.03.19;19,61
08.03.19;19,65
11.03.19;19,35
12.03.19;19,91
13.03.19;20,14
14.03.19;20,31
15.03.19;20,66
18.03.19;20,49
19.03.19;20,61
20.03.19;21,14
21.03.19;20,34
22.03.19;20,78
25.03.19;19,85
26.03.19;19,8
27.03.19;20,72
28.03.19;20,91
29.03.19;21,98
01.04.19;22,47
02.04.19;24,86
03.04.19;28,59
04.04.19;25,9
05.04.19;28,67
08.04.19;26,69
09.04.19;26,31
10.04.19;26,95
11.04.19;24,36
12.04.19;24,34
15.04.19;23,19
16.04.19;23,97
17.04.19;24,03
18.04.19;24,77
19.04.19;24,23
22.04.19;23,91
23.04.19;23,23
24.04.19;21,17
25.04.19;22,34
26.04.19;20,35
29.04.19;20,82
30.04.19;21,24
01.05.19;21,41
02.05.19;21,65
03.05.19;21,93
06.05.19;20,81
07.05.19;20,5
08.05.19;19,85
09.05.19;18,75
10.05.19;19,15
13.05.19;21,07
14.05.19;22,4
15.05.19;25,92
16.05.19;25,85
17.05.19;23,3
20.05.19;25,41
21.05.19;26,24
22.05.19;25,05
23.05.19;23,87
24.05.19;24,75
27.05.19;26,25
28.05.19;26,76
29.05.19;29,04
30.05.19;27,95
31.05.19;27,45
03.06.19;28
04.06.19;24,57
05.06.19;25,42
06.06.19;24,86
07.06.19;26,96
10.06.19;28,5
11.06.19;28,53
12.06.19;29,62
13.06.19;30,22
14.06.19;29,18
17.06.19;32,37
18.06.19;30,92
19.06.19;31,92
20.06.19;31,4
21.06.19;31,99
24.06.19;36,38
25.06.19;38,92
26.06.19;39,4
27.06.19;33,79
28.06.19;36,75
01.07.19;32,28
02.07.19;34,78
03.07.19;34,68
04.07.19;35,85
05.07.19;34,75
08.07.19;36,47
09.07.19;35,58
10.07.19;33,05
11.07.19;31,25
12.07.19;31,91
15.07.19;26,89
16.07.19;23,2
17.07.19;23,81
18.07.19;26,68
19.07.19;26,74
22.07.19;25,14
23.07.19;25,95
24.07.19;25,83
25.07.19;26,15
26.07.19;26,59
29.07.19;24,83
30.07.19;26,21
31.07.19;26,98
01.08.19;26
02.08.19;26,03
05.08.19;26,41
06.08.19;25,02
07.08.19;24,36
08.08.19;23,41
09.08.19;22,36
12.08.19;22,47
13.08.19;22
14.08.19;19,93
15.08.19;20,61
16.08.19;21,42
19.08.19;22,01
20.08.19;21,76
21.08.19;21,06
22.08.19;22,01
23.08.19;21,81
26.08.19;21,52
27.08.19;21,26
28.08.19;19,74
29.08.19;19,29
30.08.19;19,32
02.09.19;20,03
03.09.19;20,31
04.09.19;19,87
05.09.19;19,28
06.09.19;18,47
09.09.19;19,7
10.09.19;19,52
11.09.19;19,18
12.09.19;19,13
13.09.19;19,1
16.09.19;19,32
17.09.19;20,43
18.09.19;21,8
19.09.19;21,72
20.09.19;21,26
23.09.19;20,17
24.09.19;16,27
25.09.19;16,62
26.09.19;16,39
27.09.19;16,68
30.09.19;17,16
01.10.19;16,99
02.10.19;17
03.10.19;16,71
04.10.19;17,16
07.10.19;17,24
08.10.19;17,39
09.10.19;18,68
10.10.19;18,55
11.10.19;17,78
14.10.19;17,92
15.10.19;17,52
16.10.19;16,91
17.10.19;17,06
18.10.19;17,2
21.10.19;17,29
22.10.19;17,27
23.10.19;16,37
24.10.19;16,46
25.10.19;18,09
28.10.19;22,22
29.10.19;21,4
30.10.19;21,85
31.10.19;21,62
01.11.19;21,37
04.11.19;22,75
05.11.19;22,84
06.11.19;22,91
07.11.19;23,82
08.11.19;23,29
11.11.19;23,83
12.11.19;25,17
13.11.19;26,06
14.11.19;25,43
15.11.19;23,83
18.11.19;24,06
19.11.19;23,26
20.11.19;22,91
21.11.19;21,28
22.11.19;19,33
25.11.19;18,87
26.11.19;19,16
27.11.19;20,15
28.11.19;20,72
29.11.19;20,61
02.12.19;19,82
03.12.19;20,1
04.12.19;18,98
05.12.19;18,81
06.12.19;18,84
09.12.19;18,55
10.12.19;18,26
11.12.19;18,01
12.12.19;18,43
13.12.19;18,91
16.12.19;17,39
17.12.19;16,15
18.12.19;17,59
19.12.19;17,82
20.12.19;18,11
23.12.19;18,1
24.12.19;18,02
25.12.19;17,9
26.12.19;17,99
27.12.19;18,13
30.12.19;18,49
31.12.19;17,91
01.01.20;18,51
02.01.20;17,56
03.01.20;18,37
06.01.20;19,84
07.01.20;20,01
08.01.20;19,28
09.01.20;19,05
10.01.20;19,76
13.01.20;20,31
14.01.20;22,08
15.01.20;23,32
16.01.20;22,93
17.01.20;23,81
20.01.20;22,94
21.01.20;22,9
22.01.20;23,11
23.01.20;21,53
24.01.20;21,89
27.01.20;23,18
28.01.20;23,2
29.01.20;23,43
30.01.20;24,36
31.01.20;23,81
03.02.20;25,14
04.02.20;25,52
05.02.20;26,65
06.02.20;27,28
07.02.20;27,4
10.02.20;28,74
11.02.20;29,85
12.02.20;32,44
13.02.20;32,52
