Date;SP_CC_LargeCap_ExMegaCap_Index
19.03.18;100
20.03.18;109,93
21.03.18;107,28
22.03.18;102,37
23.03.18;100,85
26.03.18;90,47
27.03.18;88,99
28.03.18;87,12
29.03.18;78,1
30.03.18;73,23
02.04.18;73,53
03.04.18;80,32
04.04.18;73,69
05.04.18;71,98
06.04.18;69,11
09.04.18;71,08
10.04.18;73,56
11.04.18;75,33
12.04.18;84,43
13.04.18;93,01
16.04.18;92,79
17.04.18;93,83
18.04.18;101,97
19.04.18;108,28
20.04.18;122,66
23.04.18;129,3
24.04.18;141,38
25.04.18;124,84
26.04.18;124,97
27.04.18;128,59
30.04.18;134,63
01.05.18;129,74
02.05.18;137,42
03.05.18;142,58
04.05.18;143,45
07.05.18;144,62
08.05.18;138,88
09.05.18;139,3
10.05.18;133,58
11.05.18;120,69
14.05.18;125,78
15.05.18;118,12
16.05.18;112,41
17.05.18;109,94
18.05.18;110,23
21.05.18;110,91
22.05.18;106,24
23.05.18;95,79
24.05.18;98,52
25.05.18;93,78
28.05.18;87,5
29.05.18;93,79
30.05.18;91,19
31.05.18;95,87
01.06.18;94,77
04.06.18;100,17
05.06.18;103,39
06.06.18;100,96
07.06.18;103,06
08.06.18;101,36
11.06.18;85,51
12.06.18;80,71
13.06.18;75,93
14.06.18;82,64
15.06.18;80,36
18.06.18;80,18
19.06.18;80,85
20.06.18;79,65
21.06.18;78,29
22.06.18;69,68
25.06.18;67,01
26.06.18;64,04
27.06.18;64,35
28.06.18;62,78
29.06.18;59,05
02.07.18;72,36
03.07.18;71,77
04.07.18;72,95
05.07.18;68,79
06.07.18;68,06
09.07.18;68,66
10.07.18;63,92
11.07.18;63,6
12.07.18;61,5
13.07.18;62,06
16.07.18;70,64
17.07.18;75,55
18.07.18;74,99
19.07.18;72,72
20.07.18;68,64
23.07.18;69,32
24.07.18;73,02
25.07.18;72,91
26.07.18;73,03
27.07.18;71,56
30.07.18;68,74
31.07.18;65,44
01.08.18;64,68
02.08.18;62,44
03.08.18;62,37
06.08.18;60,25
