Date;SP_CC_BDM_Index
28.02.17;100
01.03.17;102,93
02.03.17;108,62
03.03.17;108,78
06.03.17;108,92
07.03.17;105,78
08.03.17;98,74
09.03.17;102,54
10.03.17;109,4
13.03.17;110,7
14.03.17;111,7
15.03.17;114,09
16.03.17;111,46
17.03.17;109,48
20.03.17;101,91
21.03.17;107,3
22.03.17;99,19
23.03.17;101,76
24.03.17;100,31
27.03.17;103,09
28.03.17;104,05
29.03.17;106,15
30.03.17;106,15
31.03.17;109,15
03.04.17;113,76
04.04.17;113,43
05.04.17;113,31
06.04.17;115,52
07.04.17;116,33
10.04.17;117,75
11.04.17;118,68
12.04.17;120,08
13.04.17;118,2
14.04.17;118,24
17.04.17;119,2
18.04.17;120,44
19.04.17;120,71
20.04.17;122,56
21.04.17;124,04
24.04.17;126,29
25.04.17;128,6
26.04.17;132,32
27.04.17;137,65
28.04.17;139,85
01.05.17;152,2
02.05.17;156,61
03.05.17;161,45
04.05.17;173,29
05.05.17;173,58
08.05.17;187,72
09.05.17;193,03
10.05.17;197,39
11.05.17;201,86
12.05.17;187,52
15.05.17;196,45
16.05.17;204,29
17.05.17;214,71
18.05.17;218,53
19.05.17;232,03
22.05.17;266,55
23.05.17;274,66
24.05.17;304,11
25.05.17;293,57
26.05.17;280,52
29.05.17;289,84
30.05.17;288,63
31.05.17;301,19
01.06.17;310,27
02.06.17;310,61
05.06.17;342,96
06.06.17;361,57
07.06.17;357,89
08.06.17;353,02
09.06.17;368,16
12.06.17;373,21
13.06.17;407,63
14.06.17;381,38
15.06.17;342,41
16.06.17;374,46
19.06.17;385,13
20.06.17;400,52
21.06.17;367,49
22.06.17;380,13
23.06.17;385,73
26.06.17;300,41
27.06.17;324,84
28.06.17;363,23
29.06.17;357,18
30.06.17;346,46
03.07.17;347,07
04.07.17;346,75
05.07.17;351,78
06.07.17;346,45
07.07.17;329,87
10.07.17;302,88
11.07.17;277,82
12.07.17;304,03
13.07.17;288,54
14.07.17;274,03
17.07.17;260,39
18.07.17;303,56
19.07.17;273,71
20.07.17;323,81
21.07.17;318,71
24.07.17;337,16
25.07.17;298,92
26.07.17;298,55
27.07.17;306,7
28.07.17;314,64
31.07.17;323,99
