Date;SP_CC_Top5_EW_Index
16.03.18;1000
19.03.18;932,21
20.03.18;999,21
21.03.18;981,35
22.03.18;941,01
23.03.18;935,38
26.03.18;849,23
27.03.18;833,36
28.03.18;815,3
29.03.18;734,38
30.03.18;688
02.04.18;695,09
03.04.18;755,33
04.04.18;694,42
05.04.18;682,48
06.04.18;660,06
09.04.18;675,02
10.04.18;694,46
11.04.18;702,6
12.04.18;779,16
13.04.18;854,2
16.04.18;832,71
17.04.18;838,99
18.04.18;892,02
19.04.18;943,95
20.04.18;1040
23.04.18;1101,45
24.04.18;1199,39
25.04.18;1078,14
26.04.18;1075,46
27.04.18;1105,14
30.04.18;1126,03
01.05.18;1082,37
02.05.18;1129,94
03.05.18;1199,92
04.05.18;1220,98
07.05.18;1221,48
08.05.18;1183,64
09.05.18;1190,91
10.05.18;1153,39
11.05.18;1061,55
14.05.18;1112,18
15.05.18;1058
16.05.18;1020,5
17.05.18;1000,45
18.05.18;1006,44
21.05.18;1010,39
22.05.18;975,21
23.05.18;885,32
24.05.18;902,59
25.05.18;868,25
28.05.18;816,64
29.05.18;862,8
30.05.18;838,99
31.05.18;872,27
01.06.18;864,68
04.06.18;905,7
05.06.18;931,19
06.06.18;915,38
07.06.18;934,82
08.06.18;922,92
11.06.18;795,25
12.06.18;752,77
13.06.18;714,86
14.06.18;775,49
15.06.18;753,72
18.06.18;764,94
19.06.18;777,92
20.06.18;771,98
21.06.18;760,05
22.06.18;690,38
25.06.18;673,11
26.06.18;650,63
27.06.18;649,67
28.06.18;640,67
29.06.18;605,55
02.07.18;699,7
03.07.18;697,73
04.07.18;705,67
05.07.18;675,06
06.07.18;679,25
09.07.18;685,38
10.07.18;641,84
11.07.18;641,22
12.07.18;626,88
13.07.18;628,16
16.07.18;696,87
17.07.18;744,2
18.07.18;733,23
19.07.18;721
20.07.18;686,45
23.07.18;702,64
24.07.18;743,66
25.07.18;739,87
26.07.18;740,43
27.07.18;730,33
30.07.18;714,72
31.07.18;685,5
01.08.18;675,1
02.08.18;661,59
03.08.18;658,73
06.08.18;631,01
07.08.18;623,02
08.08.18;549,93
09.08.18;555,8
10.08.18;544,13
13.08.18;486,53
14.08.18;455,88
15.08.18;487,99
16.08.18;497,05
17.08.18;522,2
20.08.18;508,53
21.08.18;500,19
22.08.18;492,78
23.08.18;494,19
24.08.18;507,2
27.08.18;512,51
28.08.18;545,8
29.08.18;532,91
30.08.18;512,5
31.08.18;531,14
03.09.18;561,91
04.09.18;559,14
05.09.18;497,83
06.09.18;476,59
07.09.18;468,17
10.09.18;441,67
11.09.18;424,69
12.09.18;426,66
13.09.18;448,48
14.09.18;461,64
17.09.18;431,04
18.09.18;452,28
19.09.18;460,46
20.09.18;478,98
21.09.18;571,2
24.09.18;538,48
25.09.18;495,15
26.09.18;541,12
27.09.18;578,62
28.09.18;560,58
01.10.18;556,61
02.10.18;556,11
03.10.18;534,66
04.10.18;547,35
05.10.18;539,72
08.10.18;550,06
09.10.18;538,97
10.10.18;533,78
11.10.18;477,62
12.10.18;482,21
15.10.18;500,29
16.10.18;501,56
17.10.18;504,38
18.10.18;493,69
19.10.18;495,21
22.10.18;493,45
23.10.18;493,9
24.10.18;495,24
25.10.18;494,27
26.10.18;492,42
29.10.18;469,93
30.10.18;470,14
31.10.18;478,33
01.11.18;479,1
02.11.18;494,38
05.11.18;527,87
06.11.18;553,97
07.11.18;558,38
08.11.18;540,97
09.11.18;527,33
12.11.18;521,5
13.11.18;517,8
14.11.18;438,96
15.11.18;435,56
16.11.18;427,02
19.11.18;380,33
20.11.18;343,08
21.11.18;344,12
22.11.18;338,69
23.11.18;313,81
26.11.18;278,47
27.11.18;280,27
28.11.18;321,68
29.11.18;303,3
30.11.18;290,59
03.12.18;277,35
04.12.18;276,31
05.12.18;264,39
06.12.18;250,38
07.12.18;227,94
10.12.18;228,56
11.12.18;222,9
12.12.18;230,84
13.12.18;217,15
14.12.18;209,88
17.12.18;249,05
18.12.18;246,11
19.12.18;270,93
20.12.18;289,99
21.12.18;282,8
24.12.18;316,81
25.12.18;296,7
26.12.18;293,65
27.12.18;268,87
28.12.18;306,24
31.12.18;285,56
01.01.19;299,02
02.01.19;317,2
03.01.19;303,95
04.01.19;306,59
07.01.19;311,13
08.01.19;309,34
09.01.19;309,01
10.01.19;269,52
11.01.19;267,44
14.01.19;271,67
15.01.19;259,29
16.01.19;262,74
17.01.19;266,48
18.01.19;261,17
21.01.19;254,06
22.01.19;262,26
23.01.19;258,14
24.01.19;260,11
25.01.19;256,59
28.01.19;232,95
29.01.19;233,47
30.01.19;247,02
31.01.19;244,54
01.02.19;245,34
04.02.19;244,97
05.02.19;243,8
06.02.19;238,69
07.02.19;238,85
08.02.19;266,96
11.02.19;265,86
12.02.19;272,34
13.02.19;265,36
14.02.19;264,22
15.02.19;264,17
18.02.19;307,22
19.02.19;315,39
20.02.19;320,78
21.02.19;311,88
22.02.19;318,26
25.02.19;301,51
26.02.19;296,32
27.02.19;288,38
28.02.19;298,42
01.03.19;303,33
04.03.19;281,69
05.03.19;302,58
06.03.19;303,82
07.03.19;306,29
08.03.19;305,5
11.03.19;294,91
12.03.19;297,97
13.03.19;297,32
14.03.19;297,51
15.03.19;308,46
18.03.19;315,5
19.03.19;318,04
20.03.19;316,59
21.03.19;308,95
22.03.19;313,27
25.03.19;307,49
26.03.19;307,6
27.03.19;328,92
28.03.19;326,74
29.03.19;331,66
01.04.19;330,03
02.04.19;388,39
03.04.19;468,45
04.04.19;409,66
05.04.19;437,01
08.04.19;452,42
09.04.19;450,46
10.04.19;465,36
11.04.19;421,76
12.04.19;424,19
15.04.19;427,17
16.04.19;445,04
17.04.19;444,11
18.04.19;450,76
19.04.19;446,86
22.04.19;438,64
23.04.19;442,46
24.04.19;412,25
25.04.19;417,88
26.04.19;398,09
29.04.19;391,56
30.04.19;407,37
01.05.19;413,09
02.05.19;413,96
03.05.19;439,66
06.05.19;439,46
07.05.19;434,58
08.05.19;431,76
09.05.19;428,69
10.05.19;440,2
13.05.19;536,65
14.05.19;545,5
15.05.19;595,42
16.05.19;600,33
17.05.19;536,75
20.05.19;585,08
21.05.19;603,9
22.05.19;590,39
23.05.19;567,09
24.05.19;596,52
27.05.19;657,27
28.05.19;661,97
29.05.19;676,36
30.05.19;661,75
31.05.19;648,87
03.06.19;638,39
04.06.19;558,3
05.06.19;585,69
06.06.19;565,56
07.06.19;595,16
10.06.19;585,08
11.06.19;579,67
12.06.19;593,56
13.06.19;609,48
14.06.19;601,07
17.06.19;652,99
18.06.19;627,74
19.06.19;635,86
20.06.19;642,49
21.06.19;674,23
24.06.19;712,15
25.06.19;718,51
26.06.19;790,31
27.06.19;639,57
