Date;SP_CC_LargeCap_Index
28.02.17;100
01.03.17;102,71
02.03.17;107,33
03.03.17;107,27
06.03.17;107,39
07.03.17;104,28
08.03.17;97,6
09.03.17;101,15
10.03.17;108,19
13.03.17;103,97
14.03.17;104,97
15.03.17;104,87
16.03.17;98,88
17.03.17;94,13
20.03.17;86,8
21.03.17;93,1
22.03.17;84,75
23.03.17;87,22
24.03.17;82,17
27.03.17;85,34
28.03.17;86,09
29.03.17;87,1
30.03.17;86,51
31.03.17;91
03.04.17;96,85
04.04.17;96,03
05.04.17;94,86
06.04.17;99,36
07.04.17;100,5
10.04.17;101,38
11.04.17;102,54
12.04.17;101,98
13.04.17;98,2
14.04.17;99,05
17.04.17;99,99
18.04.17;100,88
19.04.17;101,15
20.04.17;103,38
21.04.17;104,58
24.04.17;105,39
25.04.17;107,77
26.04.17;109,54
27.04.17;112,39
28.04.17;110,73
01.05.17;117,79
02.05.17;121,87
03.05.17;125,17
04.05.17;130,53
05.05.17;130,42
08.05.17;138,47
09.05.17;146,27
10.05.17;148,7
11.05.17;153,93
12.05.17;141,25
15.05.17;144,09
16.05.17;148,3
17.05.17;153,99
18.05.17;157,54
19.05.17;162,63
22.05.17;178,31
23.05.17;184,56
24.05.17;204,1
25.05.17;198,69
26.05.17;192,91
29.05.17;195,92
30.05.17;187,87
31.05.17;192,35
01.06.17;200,29
02.06.17;202,41
05.06.17;222,22
06.06.17;238,97
07.06.17;232,32
08.06.17;230,9
09.06.17;238,12
12.06.17;214,3
13.06.17;227,72
14.06.17;213,64
15.06.17;194,23
16.06.17;209,05
19.06.17;211,09
20.06.17;219,53
21.06.17;201,14
22.06.17;208,76
23.06.17;210,9
26.06.17;165,96
27.06.17;178,23
28.06.17;200,19
29.06.17;197,63
30.06.17;191,28
03.07.17;191,23
04.07.17;189,86
05.07.17;192,58
06.07.17;189,66
07.07.17;181,94
10.07.17;168,3
11.07.17;156,3
12.07.17;168,63
13.07.17;160,53
14.07.17;152,49
17.07.17;144,54
18.07.17;169,99
19.07.17;153,51
20.07.17;182,51
21.07.17;179
24.07.17;188,4
25.07.17;167,78
26.07.17;166,99
27.07.17;171,79
28.07.17;178,34
31.07.17;184,25
01.08.17;188,79
02.08.17;182,49
03.08.17;188,44
04.08.17;189,4
07.08.17;226,26
08.08.17;236,67
09.08.17;232,09
10.08.17;238,33
11.08.17;243,12
14.08.17;275,57
15.08.17;262,68
16.08.17;278,43
17.08.17;279,12
18.08.17;268,81
21.08.17;273,12
22.08.17;272,93
23.08.17;274,42
24.08.17;281,08
25.08.17;286,14
28.08.17;291,71
29.08.17;310,48
30.08.17;312,48
31.08.17;320,82
01.09.17;328,67
04.09.17;293,19
05.09.17;292,05
06.09.17;303,7
07.09.17;302,22
08.09.17;272,66
11.09.17;272,79
12.09.17;271,09
13.09.17;249,01
14.09.17;216,76
15.09.17;240,53
18.09.17;263,6
19.09.17;256,32
20.09.17;259,13
21.09.17;236,45
22.09.17;234,99
25.09.17;259,86
26.09.17;257,66
27.09.17;274,81
28.09.17;271,47
29.09.17;270,33
02.10.17;282,38
03.10.17;274,81
04.10.17;271,6
05.10.17;280,3
06.10.17;280,97
09.10.17;299,66
10.10.17;304,85
11.10.17;304,11
12.10.17;326,12
13.10.17;344,76
16.10.17;353,62
17.10.17;345,89
18.10.17;329,75
19.10.17;342,17
20.10.17;361,65
23.10.17;349,65
24.10.17;344,02
25.10.17;340,38
26.10.17;350,95
27.10.17;344,6
30.10.17;362,89
31.10.17;375,44
01.11.17;385
02.11.17;400,65
03.11.17;417,74
06.11.17;408,72
07.11.17;403,46
08.11.17;420,82
09.11.17;418,92
10.11.17;377,75
13.11.17;381,21
14.11.17;397,41
15.11.17;422,01
16.11.17;445,86
17.11.17;444,05
20.11.17;477,61
21.11.17;478,57
22.11.17;477,78
23.11.17;488,56
24.11.17;500,23
27.11.17;570,92
28.11.17;580,44
29.11.17;553,04
30.11.17;555,57
01.12.17;623,79
04.12.17;654,05
05.12.17;668,66
06.12.17;732,2
07.12.17;838,5
08.12.17;811,29
11.12.17;923,9
12.12.17;942,08
13.12.17;929,93
14.12.17;938,68
15.12.17;1004,37
18.12.17;1075,89
19.12.17;1068,64
20.12.17;1044,54
21.12.17;946,51
22.12.17;896,5
25.12.17;882,56
26.12.17;986,63
27.12.17;928,47
28.12.17;876,57
29.12.17;907,16
01.01.18;863,72
02.01.18;972,76
03.01.18;976,96
04.01.18;973,47
05.01.18;1052,05
08.01.18;1023,29
09.01.18;1038,49
10.01.18;1052,85
11.01.18;975,29
12.01.18;1012,22
15.01.18;1010,57
16.01.18;795,4
17.01.18;775,02
18.01.18;851,4
19.01.18;816,04
22.01.18;747,63
23.01.18;791,86
24.01.18;798,98
25.01.18;814,42
26.01.18;792,24
29.01.18;833,62
30.01.18;750,67
31.01.18;763,77
01.02.18;698,92
02.02.18;633,78
05.02.18;521,37
06.02.18;555,45
07.02.18;594,8
08.02.18;607,7
09.02.18;633,23
12.02.18;646,18
13.02.18;634,24
14.02.18;676,07
15.02.18;717,74
16.02.18;720,51
19.02.18;776,48
20.02.18;793,18
21.02.18;702,29
22.02.18;684,04
23.02.18;687,39
26.02.18;703,99
27.02.18;725,19
28.02.18;722,42
01.03.18;743,06
02.03.18;738,33
05.03.18;760,85
06.03.18;706,21
07.03.18;646,85
08.03.18;621,09
09.03.18;599,07
12.03.18;594,67
13.03.18;600,74
14.03.18;546,68
15.03.18;539,44
16.03.18;562,54
19.03.18;532,22
20.03.18;568,41
21.03.18;563,14
22.03.18;541,64
23.03.18;538,9
26.03.18;491,48
27.03.18;484,93
28.03.18;481,61
29.03.18;441,46
30.03.18;410,39
02.04.18;419,08
03.04.18;451,03
04.04.18;415,02
05.04.18;408,01
06.04.18;398,62
09.04.18;407,48
10.04.18;420,24
11.04.18;427,11
12.04.18;474,07
13.04.18;508,69
16.04.18;502,33
17.04.18;499,87
18.04.18;519,41
19.04.18;540,09
20.04.18;573,05
23.04.18;601,14
24.04.18;652,12
25.04.18;602,14
26.04.18;596,43
27.04.18;614,44
30.04.18;633,15
01.05.18;611,86
02.05.18;628,14
03.05.18;671
04.05.18;678,38
07.05.18;664,15
08.05.18;649
09.05.18;652,13
10.05.18;636,23
11.05.18;594,97
14.05.18;614,86
15.05.18;595,02
16.05.18;574,31
17.05.18;566,22
18.05.18;570,16
21.05.18;577,32
22.05.18;558,79
23.05.18;509,59
24.05.18;512,18
25.05.18;498,97
28.05.18;474,15
29.05.18;497,52
30.05.18;485,36
31.05.18;504,57
01.06.18;499,05
04.06.18;510,78
05.06.18;522,09
06.06.18;514,53
07.06.18;524,22
08.06.18;518,62
11.06.18;452,51
12.06.18;431,59
13.06.18;414,26
14.06.18;445,86
15.06.18;434,6
18.06.18;443,36
19.06.18;450,32
20.06.18;448,28
21.06.18;442,96
22.06.18;403,77
25.06.18;399,27
26.06.18;388,25
27.06.18;386,13
28.06.18;382,56
29.06.18;365,29
02.07.18;422,27
03.07.18;418,87
04.07.18;424,76
05.07.18;410,88
06.07.18;413,17
