Date;SP_ETH_DRRC_40_Index
30.08.16;100
31.08.16;101,55
01.09.16;102,78
02.09.16;103,63
06.09.16;101,89
07.09.16;102,02
08.09.16;101,26
09.09.16;101,67
12.09.16;102,36
13.09.16;103,03
14.09.16;102,99
15.09.16;103,06
16.09.16;103,88
19.09.16;106,08
20.09.16;108,67
21.09.16;108,58
22.09.16;105,01
23.09.16;107,35
26.09.16;106,08
27.09.16;106,59
28.09.16;107,22
29.09.16;106,55
30.09.16;107,28
03.10.16;107,15
04.10.16;107,72
05.10.16;107,03
06.10.16;105,15
07.10.16;104,47
10.10.16;101,51
11.10.16;102,15
12.10.16;102,12
13.10.16;101,61
14.10.16;101,94
17.10.16;101,86
18.10.16;104,68
19.10.16;102,48
20.10.16;102,62
21.10.16;102,4
24.10.16;102,15
25.10.16;99,66
26.10.16;101,14
27.10.16;100,45
28.10.16;99,76
31.10.16;99,33
01.11.16;98,21
02.11.16;98,97
03.11.16;98,72
04.11.16;98,72
07.11.16;98,27
08.11.16;97,73
09.11.16;97,34
10.11.16;96,59
11.11.16;96,3
14.11.16;93,48
15.11.16;94,91
16.11.16;94,32
17.11.16;93,58
18.11.16;91,46
21.11.16;91,46
22.11.16;93,13
23.11.16;92,94
25.11.16;91,7
28.11.16;86,09
29.11.16;82,54
30.11.16;85,16
01.12.16;84,03
02.12.16;79,11
05.12.16;76,74
06.12.16;74,87
07.12.16;80,66
08.12.16;84,72
09.12.16;84,81
12.12.16;84,24
13.12.16;84,43
14.12.16;84,29
15.12.16;82,46
16.12.16;81,7
19.12.16;81,28
20.12.16;80,99
21.12.16;82,03
22.12.16;80,66
23.12.16;79,44
27.12.16;78,59
28.12.16;79,06
29.12.16;83,95
30.12.16;83,08
03.01.17;89,75
04.01.17;98,34
05.01.17;96,06
06.01.17;96,06
09.01.17;98,34
10.01.17;97,87
11.01.17;94,92
12.01.17;94,1
13.01.17;94,02
17.01.17;95,86
18.01.17;95,9
19.01.17;96,45
20.01.17;97,78
23.01.17;98,25
24.01.17;97,7
25.01.17;97,19
26.01.17;97,66
27.01.17;97,27
30.01.17;97,19
31.01.17;97,89
01.02.17;97,62
02.02.17;97,85
03.02.17;98,57
06.02.17;100,99
07.02.17;101,88
08.02.17;100,89
09.02.17;99,32
10.02.17;100,01
13.02.17;100,59
14.02.17;107,42
15.02.17;108,75
16.02.17;108,8
17.02.17;108,11
21.02.17;108,5
22.02.17;108,2
23.02.17;108,64
24.02.17;110,66
27.02.17;118,07
28.02.17;122,35
01.03.17;123,43
02.03.17;138,02
03.03.17;136,15
06.03.17;140,43
07.03.17;137,5
08.03.17;133,03
09.03.17;133,4
10.03.17;135,37
13.03.17;173,27
