Date;SP_CC_BDM_Index_MegaCap
28.02.17;100
01.03.17;111,32
02.03.17;120,17
03.03.17;126,73
06.03.17;122,46
07.03.17;122,09
08.03.17;115,59
09.03.17;124,24
10.03.17;124,49
13.03.17;162
14.03.17;165,89
15.03.17;189,89
16.03.17;183,16
17.03.17;181,61
20.03.17;194,97
21.03.17;188,24
22.03.17;194,54
23.03.17;199,05
24.03.17;210,86
27.03.17;180,48
28.03.17;188,39
29.03.17;190,78
30.03.17;216,3
31.03.17;230,48
03.04.17;245,82
04.04.17;276,82
05.04.17;298,03
06.04.17;268,69
07.04.17;276,52
10.04.17;273,87
11.04.17;262,3
12.04.17;287,37
13.04.17;292,24
14.04.17;292,29
17.04.17;300,77
18.04.17;295,56
19.04.17;293,43
20.04.17;291,54
21.04.17;309,72
24.04.17;346,46
25.04.17;346,42
26.04.17;360,56
27.04.17;372,85
28.04.17;393,44
01.05.17;454,61
02.05.17;464,93
03.05.17;519,05
04.05.17;586,2
05.05.17;612,99
08.05.17;822,51
09.05.17;813,19
10.05.17;860,61
11.05.17;866,06
12.05.17;843
15.05.17;939,29
16.05.17;1087,24
17.05.17;1293,63
18.05.17;1190,8
19.05.17;1168,9
22.05.17;1113,77
23.05.17;1268,1
24.05.17;1349,49
25.05.17;1184,82
26.05.17;1169,41
29.05.17;1101,77
30.05.17;1044,43
31.05.17;1093,13
01.06.17;1294,27
02.06.17;1252,22
05.06.17;1304,28
06.06.17;1278,02
07.06.17;1321,6
08.06.17;1292,3
09.06.17;1301,93
12.06.17;1183,57
13.06.17;1299,81
14.06.17;1304,51
15.06.17;1165,07
16.06.17;1254,93
19.06.17;1415,46
20.06.17;1471,7
21.06.17;1359,3
22.06.17;1384,1
23.06.17;1433,94
26.06.17;1062,39
27.06.17;1187,95
28.06.17;1299,81
29.06.17;1253,53
30.06.17;1229,01
03.07.17;1243,44
04.07.17;1280,44
05.07.17;1300,22
06.07.17;1280,45
07.07.17;1175,92
10.07.17;1040,29
11.07.17;893,07
12.07.17;1053,86
13.07.17;984,51
14.07.17;934,1
17.07.17;898,97
18.07.17;1000,89
19.07.17;894,9
20.07.17;1029,91
21.07.17;1034,05
24.07.17;1124,58
25.07.17;973,21
26.07.17;990,36
27.07.17;1009,74
28.07.17;969,22
31.07.17;978,47
01.08.17;1049,96
02.08.17;1059,77
03.08.17;1083,36
04.08.17;1084,15
