Date;SP_CC_Top10_EW_Index_Singapore
16.03.18;1000
19.03.18;972,18
20.03.18;1010,22
21.03.18;1068,41
22.03.18;1024,13
23.03.18;974,31
26.03.18;943,66
27.03.18;906,18
28.03.18;914,79
29.03.18;841,31
30.03.18;797,63
02.04.18;790,12
03.04.18;830,04
04.04.18;795,12
05.04.18;755,08
06.04.18;745,62
09.04.18;770,82
10.04.18;772,72
11.04.18;790,79
12.04.18;892,84
13.04.18;974,28
16.04.18;937,66
17.04.18;967
18.04.18;973,45
19.04.18;1008,69
20.04.18;1077,75
23.04.18;1157,12
24.04.18;1232,12
25.04.18;1154,33
26.04.18;1143,71
27.04.18;1205,84
30.04.18;1222,66
01.05.18;1162,8
02.05.18;1202,48
03.05.18;1254,66
04.05.18;1301,46
07.05.18;1249,05
08.05.18;1232,18
09.05.18;1243,45
10.05.18;1257,57
11.05.18;1117,18
14.05.18;1122,93
15.05.18;1169,8
16.05.18;1105,4
17.05.18;1097,65
18.05.18;1065,21
21.05.18;1116,11
22.05.18;1068,15
23.05.18;1009,2
24.05.18;957,53
25.05.18;973,31
28.05.18;917,07
29.05.18;938,97
30.05.18;957,99
31.05.18;960,89
01.06.18;948,66
04.06.18;982,24
05.06.18;965,87
06.06.18;1003,81
07.06.18;1005,04
08.06.18;981,93
11.06.18;867,56
12.06.18;859,96
13.06.18;809,11
14.06.18;818,4
15.06.18;821,45
18.06.18;810,91
19.06.18;867,22
20.06.18;840,66
21.06.18;853,81
22.06.18;789,85
25.06.18;750,92
26.06.18;756,28
27.06.18;733,37
28.06.18;737,09
29.06.18;698,87
02.07.18;762,86
03.07.18;800,17
04.07.18;795,91
05.07.18;802,98
06.07.18;792,14
09.07.18;804,16
10.07.18;750,64
11.07.18;753,68
12.07.18;731,02
13.07.18;745,81
16.07.18;794,09
17.07.18;801,45
18.07.18;881,96
19.07.18;870,85
20.07.18;856,55
23.07.18;870,56
24.07.18;912,83
25.07.18;911,96
26.07.18;919,09
27.07.18;873,76
30.07.18;897,86
31.07.18;852,65
01.08.18;834,17
02.08.18;820,55
03.08.18;810,9
06.08.18;774,66
07.08.18;787,43
08.08.18;708,17
09.08.18;679,78
10.08.18;704,5
13.08.18;676,33
14.08.18;614,59
15.08.18;647,98
16.08.18;643,06
17.08.18;664,87
20.08.18;661,04
21.08.18;653,58
22.08.18;673,62
23.08.18;646,8
24.08.18;659,56
27.08.18;669,09
28.08.18;706,38
29.08.18;718,26
30.08.18;682,78
31.08.18;691,17
03.09.18;729,11
04.09.18;739,36
05.09.18;687,79
06.09.18;621,55
07.09.18;625,33
10.09.18;601,64
11.09.18;594,72
12.09.18;579,38
13.09.18;611,14
14.09.18;616,14
17.09.18;619,79
18.09.18;607,48
19.09.18;605,05
20.09.18;622,42
21.09.18;671,67
24.09.18;666,8
25.09.18;632,23
26.09.18;646,45
27.09.18;658,13
28.09.18;662,32
01.10.18;669,22
02.10.18;664,63
03.10.18;646
04.10.18;657,19
05.10.18;656,16
08.10.18;665,64
09.10.18;659,28
10.10.18;653,06
11.10.18;605,17
12.10.18;608,6
15.10.18;635
16.10.18;635,19
17.10.18;634,16
18.10.18;633,96
19.10.18;625,04
22.10.18;628,7
23.10.18;625,49
24.10.18;631,34
25.10.18;626,51
26.10.18;627,31
29.10.18;607,55
30.10.18;609,41
31.10.18;608,22
01.11.18;613,78
02.11.18;619,44
05.11.18;638,82
06.11.18;650,04
07.11.18;662,53
08.11.18;653,21
09.11.18;640,47
12.11.18;638,87
13.11.18;634,25
14.11.18;617,46
15.11.18;539,15
16.11.18;547,07
19.11.18;508,42
20.11.18;434
21.11.18;450,07
22.11.18;434,23
23.11.18;413,13
26.11.18;380,02
27.11.18;354,94
28.11.18;397,66
29.11.18;403,23
30.11.18;380,23
03.12.18;381,52
04.12.18;375
05.12.18;364,69
06.12.18;348,73
07.12.18;311,34
10.12.18;322,6
11.12.18;309,6
12.12.18;316,39
13.12.18;316,78
14.12.18;303,34
17.12.18;316,81
18.12.18;327,76
19.12.18;365,23
20.12.18;388,07
21.12.18;392,47
24.12.18;415,05
25.12.18;374,74
26.12.18;374,59
27.12.18;369,21
28.12.18;352,95
31.12.18;373,87
01.01.19;371,38
02.01.19;385,97
03.01.19;388,71
04.01.19;382,81
07.01.19;398,52
08.01.19;404,16
09.01.19;403,64
10.01.19;374,09
11.01.19;357,36
14.01.19;345,85
15.01.19;358,89
16.01.19;357,9
17.01.19;351,28
18.01.19;352,88
21.01.19;346,26
22.01.19;346,86
23.01.19;350,02
24.01.19;349,08
25.01.19;346,44
28.01.19;325,92
29.01.19;324,06
30.01.19;334,55
31.01.19;331,2
