Date;CC_MegaCap_CME_Futures_Index
26.02.21;100
01.03.21;105,37
02.03.21;102,95
03.03.21;109,74
04.03.21;104,48
05.03.21;106,78
08.03.21;114,18
09.03.21;119,51
10.03.21;122,64
11.03.21;125,12
12.03.21;122,72
15.03.21;122,88
16.03.21;121,1
17.03.21;125,3
18.03.21;123,81
19.03.21;127,71
22.03.21;120,59
23.03.21;119,04
24.03.21;117,94
25.03.21;112,88
26.03.21;116,57
29.03.21;125,7
30.03.21;128,86
31.03.21;128,66
01.04.21;130,1
05.04.21;131,94
06.04.21;130
07.04.21;123,98
08.04.21;128,25
09.04.21;129,56
12.04.21;133,62
13.04.21;141,08
14.04.21;138,98
15.04.21;143,35
16.04.21;139,36
19.04.21;125,79
20.04.21;128,55
21.04.21;127,81
22.04.21;124,01
23.04.21;118,65
26.04.21;126,1
27.04.21;128,98
28.04.21;131,7
29.04.21;126,74
30.04.21;135,07
03.05.21;141,51
04.05.21;136,88
05.05.21;142,68
06.05.21;140,67
07.05.21;143,92
10.05.21;145,39
11.05.21;148,3
12.05.21;144,06
13.05.21;128,24
14.05.21;136,08
17.05.21;117,5
18.05.21;116,02
19.05.21;100,34
20.05.21;104,36
21.05.21;91,8
24.05.21;101,6
25.05.21;95,78
26.05.21;100,61
27.05.21;101,26
28.05.21;92,83
01.06.21;93,6
02.06.21;99,68
03.06.21;101,3
04.06.21;96,92
07.06.21;94,99
08.06.21;87,51
09.06.21;94,44
10.06.21;93,76
11.06.21;94,29
14.06.21;100,15
15.06.21;100,6
16.06.21;96,69
17.06.21;94,24
18.06.21;87,88
21.06.21;80,59
22.06.21;80,15
23.06.21;81,16
24.06.21;85,8
25.06.21;78,96
28.06.21;86,11
29.06.21;90,76
30.06.21;87,96
01.07.21;83,22
02.07.21;83,67
06.07.21;87,47
07.07.21;89,23
08.07.21;83,69
09.07.21;84,28
12.07.21;81,78
13.07.21;79,67
14.07.21;81,25
15.07.21;78,17
16.07.21;79,05
19.07.21;75,81
20.07.21;73,66
21.07.21;78,8
22.07.21;81,22
23.07.21;80,91
26.07.21;97,83
27.07.21;93,47
28.07.21;99,04
29.07.21;97,71
30.07.21;98,89
02.08.21;99,93
03.08.21;96,32
04.08.21;102,14
05.08.21;105
06.08.21;110,47
09.08.21;118,45
10.08.21;117,41
