Date;SP_BTC_DRRC_40_Index
22.08.14;100
25.08.14;96,86
26.08.14;98,4
27.08.14;98,95
28.08.14;97,82
29.08.14;97,67
02.09.14;93,57
03.09.14;93,89
04.09.14;95,78
05.09.14;95,17
08.09.14;92,49
09.09.14;92,09
10.09.14;94,75
11.09.14;93,55
12.09.14;93,12
15.09.14;93,85
16.09.14;92,65
17.09.14;90,68
18.09.14;86,61
19.09.14;81,29
22.09.14;81,17
23.09.14;80,86
24.09.14;85,62
25.09.14;83,13
26.09.14;81,06
29.09.14;78,09
30.09.14;78,36
01.10.14;79,03
02.10.14;77,53
03.10.14;76,95
06.10.14;73
07.10.14;71
08.10.14;73,32
09.10.14;78,31
10.10.14;74,79
13.10.14;77,69
14.10.14;79,81
15.10.14;79,31
16.10.14;77,72
17.10.14;76,94
20.10.14;78,19
21.10.14;78,8
22.10.14;77,95
23.10.14;75,45
24.10.14;75,36
27.10.14;74,74
28.10.14;74,5
29.10.14;72,72
30.10.14;72,31
31.10.14;72,91
03.11.14;71,16
04.11.14;71,49
05.11.14;73,44
06.11.14;74,73
07.11.14;73,61
10.11.14;78,17
11.11.14;77,11
12.11.14;82,57
13.11.14;86,83
14.11.14;83,25
17.11.14;83,54
18.11.14;80,84
19.11.14;80,77
20.11.14;78,69
21.11.14;78,08
24.11.14;80,83
25.11.14;81
26.11.14;80,55
28.11.14;80,28
01.12.14;81,31
02.12.14;81,69
03.12.14;81,24
04.12.14;79,94
05.12.14;80,7
08.12.14;79,72
09.12.14;77,45
10.12.14;77,81
11.12.14;78,52
12.12.14;77,98
15.12.14;77,61
16.12.14;76
17.12.14;73,78
18.12.14;72,3
19.12.14;72,52
22.12.14;75,33
23.12.14;75,93
29.12.14;73,03
30.12.14;72,65
05.01.15;66,58
06.01.15;66,9
07.01.15;68,63
08.01.15;68,56
09.01.15;68,35
12.01.15;66,72
13.01.15;62,18
14.01.15;57,15
15.01.15;60,17
16.01.15;58,95
20.01.15;59,32
21.01.15;59,47
22.01.15;61,4
23.01.15;61,25
26.01.15;65,03
27.01.15;64,26
28.01.15;63,55
29.01.15;61,21
30.01.15;60,92
02.02.15;60,48
03.02.15;61,76
04.02.15;60,69
05.02.15;59,63
06.02.15;60,53
09.02.15;60
10.02.15;59,7
11.02.15;60,25
12.02.15;60,18
13.02.15;62,11
17.02.15;62,07
18.02.15;61,75
19.02.15;61,8
20.02.15;62,52
23.02.15;61,7
24.02.15;61,87
25.02.15;61,95
26.02.15;61,75
27.02.15;63,76
02.03.15;64,8
03.03.15;65,65
04.03.15;67,21
05.03.15;65,69
06.03.15;66,18
09.03.15;67,21
10.03.15;69,56
11.03.15;68,6
12.03.15;68,52
13.03.15;68,28
16.03.15;68,58
17.03.15;67,78
18.03.15;66,24
19.03.15;64,69
20.03.15;64,77
23.03.15;65,47
24.03.15;62,84
25.03.15;62,85
26.03.15;63,51
27.03.15;63,1
30.03.15;62,84
31.03.15;62,61
01.04.15;62,47
02.04.15;63,02
07.04.15;64,2
08.04.15;63,24
09.04.15;62,59
10.04.15;61,23
13.04.15;61,2
14.04.15;58,99
15.04.15;59,32
16.04.15;60,09
17.04.15;59,27
20.04.15;59,63
21.04.15;59,79
22.04.15;61,67
23.04.15;61,31
24.04.15;60,71
27.04.15;59,53
28.04.15;59,53
29.04.15;59,82
30.04.15;61,25
04.05.15;61,97
05.05.15;61,27
06.05.15;61,26
07.05.15;60,66
08.05.15;61,79
11.05.15;62,49
12.05.15;62,61
13.05.15;62,76
15.05.15;61,81
18.05.15;61,59
19.05.15;60,92
20.05.15;61,09
21.05.15;61,39
22.05.15;61,47
26.05.15;61,84
27.05.15;61,71
28.05.15;61,66
29.05.15;61,54
01.06.15;59,54
02.06.15;59,15
03.06.15;59,31
04.06.15;59,22
05.06.15;59,32
08.06.15;59,77
09.06.15;60,28
