Date;CME_Bitcoin_future_daily_roll
28.12.17;94,98
29.12.17;100
02.01.18;102,74
03.01.18;103,56
04.01.18;103,06
05.01.18;114,61
08.01.18;103,1
09.01.18;101,98
10.01.18;99,88
11.01.18;92,51
12.01.18;96,46
16.01.18;77,34
17.01.18;75,95
18.01.18;81,93
19.01.18;78,9
22.01.18;71,77
23.01.18;76,89
24.01.18;77,08
25.01.18;77,41
26.01.18;75,78
29.01.18;77,23
30.01.18;68,76
31.01.18;69,12
01.02.18;62,8
02.02.18;59,31
05.02.18;50,08
06.02.18;52,14
07.02.18;56,83
08.02.18;57,48
09.02.18;59,45
12.02.18;61,34
13.02.18;60,27
14.02.18;64,52
15.02.18;69,98
16.02.18;69,55
20.02.18;81,18
21.02.18;71,65
22.02.18;69,76
23.02.18;68,78
26.02.18;70,85
27.02.18;73,67
28.02.18;73,58
01.03.18;76,48
02.03.18;76,47
05.03.18;80,34
06.03.18;73,63
07.03.18;67,69
08.03.18;65,02
09.03.18;62,34
12.03.18;61,64
13.03.18;62,71
14.03.18;57,22
15.03.18;56,99
16.03.18;59,24
19.03.18;58,12
20.03.18;61,84
21.03.18;61,49
22.03.18;59,63
23.03.18;59,59
26.03.18;54,79
27.03.18;54,69
28.03.18;54,59
29.03.18;50,68
02.04.18;48,3
03.04.18;51,55
04.04.18;47,41
05.04.18;46,71
06.04.18;45,79
09.04.18;46,11
10.04.18;47,26
11.04.18;47,8
12.04.18;53,07
13.04.18;56,02
16.04.18;55,14
17.04.18;54,48
18.04.18;56,14
19.04.18;57,07
20.04.18;58,95
23.04.18;61,21
24.04.18;65,43
25.04.18;62,19
26.04.18;61,47
27.04.18;62,75
30.04.18;64,71
01.05.18;62,09
02.05.18;63,24
03.05.18;66,87
04.05.18;66,87
07.05.18;65,29
08.05.18;63,89
09.05.18;64,19
10.05.18;62,89
11.05.18;59,7
14.05.18;60,61
15.05.18;59,23
16.05.18;57,26
17.05.18;56,63
18.05.18;56,99
21.05.18;57,96
22.05.18;56,55
23.05.18;52,51
24.05.18;52,52
25.05.18;51,42
29.05.18;51,81
30.05.18;50,6
31.05.18;52,16
01.06.18;51,44
04.06.18;51,85
05.06.18;52,73
06.06.18;52,13
07.06.18;53,28
08.06.18;52,96
11.06.18;46,73
12.06.18;45,01
13.06.18;43,43
14.06.18;45,91
15.06.18;45,24
18.06.18;46,33
19.06.18;46,64
20.06.18;46,72
21.06.18;46,48
22.06.18;42,69
25.06.18;43,21
26.06.18;42,6
27.06.18;42,39
28.06.18;41,91
29.06.18;40,54
02.07.18;45,78
03.07.18;45,48
05.07.18;44,97
06.07.18;45,37
09.07.18;46,27
10.07.18;43,94
11.07.18;43,76
12.07.18;42,58
13.07.18;42,6
16.07.18;46,12
17.07.18;50,52
18.07.18;51,15
19.07.18;51,56
20.07.18;50,78
23.07.18;53,57
24.07.18;57,11
25.07.18;56,21
26.07.18;57,05
27.07.18;56,67
30.07.18;55,97
31.07.18;53,41
01.08.18;52,13
02.08.18;52
03.08.18;50,92
06.08.18;47,83
07.08.18;48,26
08.08.18;43,74
09.08.18;44,65
10.08.18;44,17
13.08.18;43,05
14.08.18;41,98
15.08.18;44,03
16.08.18;44,28
17.08.18;44,78
20.08.18;44,43
21.08.18;44,37
22.08.18;44,26
23.08.18;44,2
24.08.18;45,59
27.08.18;46,41
28.08.18;48,92
29.08.18;48,33
30.08.18;47,02
31.08.18;48,68
04.09.18;50,79
05.09.18;47,68
06.09.18;44,43
07.09.18;44,14
10.09.18;43,28
11.09.18;43,05
12.09.18;43,45
13.09.18;44,45
14.09.18;45,09
17.09.18;43,05
18.09.18;43,36
19.09.18;44,05
20.09.18;44,2
21.09.18;46,54
24.09.18;45,67
25.09.18;43,88
26.09.18;44,74
27.09.18;45,92
28.09.18;46,08
01.10.18;45,18
02.10.18;44,98
03.10.18;44,39
04.10.18;45,29
05.10.18;45,13
08.10.18;45,8
09.10.18;45,47
10.10.18;45,19
11.10.18;42,68
12.10.18;42,72
15.10.18;44,09
16.10.18;44,36
