Date;SP_CC_MegaCap_Index
28.02.17;100
01.03.17;102,66
02.03.17;108,24
03.03.17;108,19
06.03.17;108,47
07.03.17;105,24
08.03.17;98,19
09.03.17;101,82
10.03.17;108,91
13.03.17;109,02
14.03.17;109,92
15.03.17;111,6
16.03.17;109,11
17.03.17;107,12
20.03.17;98,87
21.03.17;104,65
22.03.17;96,08
23.03.17;98,58
24.03.17;96,71
27.03.17;100,56
28.03.17;101,29
29.03.17;103,39
30.03.17;102,56
31.03.17;105,2
03.04.17;109,46
04.04.17;108,12
05.04.17;107,31
06.04.17;110,54
07.04.17;111,12
10.04.17;112,67
11.04.17;114
12.04.17;114,64
13.04.17;112,54
14.04.17;112,58
17.04.17;113,3
18.04.17;114,75
19.04.17;115,09
20.04.17;117,07
21.04.17;118
24.04.17;119,14
25.04.17;121,52
26.04.17;124,9
27.04.17;130,01
28.04.17;131,62
01.05.17;142,39
02.05.17;146,6
03.05.17;149,85
04.05.17;159,9
05.05.17;159,33
08.05.17;167,16
09.05.17;172,94
10.05.17;175,91
11.05.17;180,34
12.05.17;166,29
15.05.17;172,4
16.05.17;175,71
17.05.17;179,8
18.05.17;187,06
19.05.17;201,7
22.05.17;239,1
23.05.17;242,49
24.05.17;270,25
25.05.17;264,69
26.05.17;251,72
29.05.17;263,53
30.05.17;264,13
31.05.17;275,52
01.06.17;278,39
02.06.17;280,1
05.06.17;311,8
06.06.17;331,86
07.06.17;326,65
08.06.17;322,57
09.06.17;337,88
12.06.17;346,92
13.06.17;378,68
14.06.17;351,45
15.06.17;315,73
16.06.17;345,91
19.06.17;349,27
20.06.17;363,24
21.06.17;332,82
22.06.17;345,41
23.06.17;348,97
26.06.17;274,61
27.06.17;294,9
28.06.17;331,24
29.06.17;327,01
30.06.17;316,5
03.07.17;316,42
04.07.17;314,14
05.07.17;318,64
06.07.17;313,81
07.07.17;301,05
10.07.17;278,47
11.07.17;258,62
12.07.17;279,03
13.07.17;265,63
14.07.17;252,31
17.07.17;239,16
18.07.17;281,27
19.07.17;254
20.07.17;301,99
21.07.17;296,18
24.07.17;311,73
25.07.17;277,61
26.07.17;276,31
27.07.17;284,25
28.07.17;295,09
31.07.17;304,87
01.08.17;312,38
02.08.17;301,95
03.08.17;311,8
04.08.17;313,39
07.08.17;374,38
08.08.17;391,6
09.08.17;384,02
10.08.17;394,34
11.08.17;402,27
14.08.17;455,96
15.08.17;434,63
16.08.17;460,69
17.08.17;461,84
18.08.17;444,78
21.08.17;451,91
22.08.17;451,6
23.08.17;454,06
24.08.17;465,09
25.08.17;473,46
28.08.17;482,67
29.08.17;513,72
30.08.17;517,03
31.08.17;530,83
01.09.17;543,83
04.09.17;485,12
05.09.17;483,23
06.09.17;502,5
07.09.17;500,07
08.09.17;451,16
11.09.17;451,37
12.09.17;448,56
13.09.17;412,01
14.09.17;358,66
15.09.17;397,99
18.09.17;436,16
19.09.17;424,11
20.09.17;428,76
21.09.17;391,23
22.09.17;388,82
25.09.17;429,97
