Date;SP_CC_Fin_Index_top_15
18.12.20;1000
21.12.20;980,45
22.12.20;1009,69
23.12.20;970,82
24.12.20;965,37
25.12.20;983,69
28.12.20;1050,9
29.12.20;1070,86
30.12.20;1078,76
31.12.20;1065,89
01.01.21;1076,69
04.01.21;1202,26
05.01.21;1306,54
06.01.21;1370,33
07.01.21;1433,51
08.01.21;1345,13
11.01.21;1252,08
12.01.21;1374,62
13.01.21;1429,25
14.01.21;1474,78
15.01.21;1407,07
18.01.21;1587,12
19.01.21;1574,93
20.01.21;1546,51
21.01.21;1423,95
22.01.21;1494,05
25.01.21;1528,74
26.01.21;1522,84
27.01.21;1491,27
28.01.21;1582,54
29.01.21;1548,79
01.02.21;1696,65
02.02.21;1746,93
03.02.21;1811,05
04.02.21;2031,16
05.02.21;2283,23
08.02.21;2440,06
09.02.21;2928,03
10.02.21;3181,77
11.02.21;3276,21
12.02.21;3596,89
15.02.21;3464,18
16.02.21;3298,34
17.02.21;3918,54
18.02.21;4467,61
19.02.21;6236,19
22.02.21;5486,95
23.02.21;4547,55
24.02.21;5025,38
25.02.21;5044,45
26.02.21;4620,67
01.03.21;5027,8
02.03.21;4864,6
03.03.21;5137,2
04.03.21;4873,81
05.03.21;4857,34
08.03.21;5092,08
09.03.21;5835,12
10.03.21;5700,31
11.03.21;6005,92
12.03.21;5473,49
15.03.21;5523,84
16.03.21;5455,6
17.03.21;5649
18.03.21;5620,87
19.03.21;5819,48
22.03.21;5685,9
23.03.21;5460,5
24.03.21;5356,2
25.03.21;5006,27
26.03.21;5269,6
29.03.21;5660,67
30.03.21;6122,95
31.03.21;5971,14
01.04.21;6370,46
02.04.21;6562,14
05.04.21;7054,69
06.04.21;7327,64
07.04.21;6854,3
08.04.21;7588,75
09.04.21;7864,27
12.04.21;9801,37
13.04.21;9511,74
14.04.21;9138,75
15.04.21;9710,17
16.04.21;9146,4
19.04.21;8652,01
20.04.21;9648,25
21.04.21;9656,71
22.04.21;9021,33
23.04.21;8752,74
26.04.21;9165,26
27.04.21;9620,39
28.04.21;9742,38
29.04.21;9802,26
30.04.21;10475,5
03.05.21;11260,31
04.05.21;10600,71
05.05.21;10899,9
06.05.21;10600,48
07.05.21;10577,34
10.05.21;10492,14
11.05.21;11108,23
12.05.21;10831,48
13.05.21;9356,52
14.05.21;10191,11
17.05.21;8910,81
18.05.21;8970,12
19.05.21;6757,43
20.05.21;6846,65
21.05.21;5607,39
24.05.21;6093,11
25.05.21;5717,1
26.05.21;6447,77
27.05.21;6568,15
28.05.21;5898,6
31.05.21;6127,89
01.06.21;6134,38
02.06.21;6985,61
03.06.21;7018,87
04.06.21;6651,3
07.06.21;6575,47
08.06.21;5874,09
09.06.21;6180,73
10.06.21;5924,15
11.06.21;5905,89
14.06.21;6112,42
15.06.21;6105,93
16.06.21;5872,35
17.06.21;5795,93
18.06.21;5410,79
21.06.21;4859,3
22.06.21;4407,51
23.06.21;4634,42
24.06.21;5082,2
25.06.21;4617,96
28.06.21;4885,85
29.06.21;5136,12
30.06.21;4977,12
01.07.21;4794,54
02.07.21;4791,1
05.07.21;5225,3
06.07.21;5553,45
07.07.21;5796,47
08.07.21;5403,05
09.07.21;5375,15
12.07.21;5289,42
13.07.21;5146,86
14.07.21;5154,71
15.07.21;5154,83
16.07.21;5012,15
19.07.21;4618,14
20.07.21;4400,45
21.07.21;4689,21
22.07.21;4915,02
23.07.21;4759,8
26.07.21;5398,91
27.07.21;5104,08
28.07.21;5274,76
29.07.21;5294,23
30.07.21;5341,5
02.08.21;5696,52
03.08.21;5513,79
04.08.21;5823,26
05.08.21;5971,79
06.08.21;6133,5
09.08.21;6357,75
10.08.21;6594,88
11.08.21;7053,12
12.08.21;6669,39
13.08.21;6958,05
16.08.21;7303,6
17.08.21;7149,25
18.08.21;6816,83
19.08.21;7265,79
20.08.21;7573,05
23.08.21;8222,5
24.08.21;7851,04
25.08.21;8101,77
26.08.21;7735,61
27.08.21;7953,6
30.08.21;7875,87
31.08.21;7789,59
01.09.21;8141,91
02.09.21;8151,54
03.09.21;8148,42
06.09.21;8447,95
07.09.21;7034,83
08.09.21;7155,8
09.09.21;7189,9
10.09.21;6957,06
13.09.21;6780,56
14.09.21;7036,66
15.09.21;7445,12
16.09.21;7353,51
17.09.21;7099,98
20.09.21;6287,04
21.09.21;6019,12
22.09.21;6372,95
23.09.21;6529,43
24.09.21;5975,02
27.09.21;5953,08
28.09.21;5868,54
29.09.21;6109,15
30.09.21;6351,73
01.10.21;6969,72
04.10.21;7085,73
05.10.21;7211,49
06.10.21;7210,7
07.10.21;7261,19
08.10.21;7082,34
11.10.21;6819,76
12.10.21;6983,35
13.10.21;7340,49
14.10.21;7544,42
15.10.21;7628,72
18.10.21;7608,01
19.10.21;7667,38
20.10.21;8040,83
21.10.21;7704,69
22.10.21;7745,64
25.10.21;7885,04
26.10.21;7992,3
27.10.21;7372,16
28.10.21;7845,04
29.10.21;8359,07
01.11.21;8562,73
02.11.21;8880,29
03.11.21;8903,8
04.11.21;8753,93
05.11.21;9463,68
08.11.21;9998,17
09.11.21;9823,52
10.11.21;9522,03
11.11.21;9626,87
12.11.21;9538,71
15.11.21;9753,29
16.11.21;8898,67
17.11.21;9132,27
18.11.21;8614,22
19.11.21;9235,56
22.11.21;9113,09
23.11.21;9968,39
24.11.21;9848,39
25.11.21;10191,39
26.11.21;9471,42
29.11.21;9836,16
30.11.21;9789,4
01.12.21;9810,4
02.12.21;9793,55
03.12.21;9192,26
06.12.21;8559,47
07.12.21;8744,74
08.12.21;9056,54
09.12.21;8500,99
10.12.21;8474,11
13.12.21;7780,88
14.12.21;7831,8
15.12.21;8191,25
16.12.21;8004,04
17.12.21;7808,7
20.12.21;7934,87
21.12.21;8011,51
22.12.21;8370,44
23.12.21;8656,34
24.12.21;8658,41
27.12.21;9086,36
28.12.21;8466,78
29.12.21;8195,57
30.12.21;8167,34
31.12.21;7975,65
03.01.22;8137,72
04.01.22;8191
05.01.22;7709,58
06.01.22;7602,93
07.01.22;7175,02
10.01.22;6737,14
11.01.22;7232,89
12.01.22;7697,18
13.01.22;7497,85
14.01.22;7665,1
