Date;SP_CC_Top10_DRRC_40_Index
06.08.18;1000
07.08.18;1009,99
08.08.18;947,78
09.08.18;925,47
10.08.18;944,83
13.08.18;922,64
14.08.18;874,17
15.08.18;900,33
16.08.18;896,44
17.08.18;913,52
20.08.18;910,41
21.08.18;904,53
22.08.18;920,22
23.08.18;899,15
24.08.18;909,12
27.08.18;916,51
28.08.18;945,72
29.08.18;955,01
30.08.18;927,14
31.08.18;933,69
03.09.18;963,35
04.09.18;971,36
05.09.18;930,87
06.09.18;878,88
07.09.18;881,81
10.09.18;863,13
11.09.18;857,67
12.09.18;845,6
13.09.18;870,48
14.09.18;874,37
17.09.18;877,13
18.09.18;867,44
19.09.18;865,51
20.09.18;879,1
21.09.18;917,7
24.09.18;913,78
25.09.18;886,63
26.09.18;897,75
27.09.18;906,89
28.09.18;910,13
01.10.18;915,44
02.10.18;911,79
03.10.18;897,14
04.10.18;905,88
05.10.18;905,04
08.10.18;912,37
09.10.18;907,34
10.10.18;902,42
11.10.18;864,82
12.10.18;867,47
15.10.18;888,08
16.10.18;888,18
17.10.18;887,34
18.10.18;887,15
19.10.18;880,11
22.10.18;882,87
23.10.18;880,32
24.10.18;884,87
25.10.18;879,98
26.10.18;880,74
29.10.18;860,75
30.10.18;862,59
31.10.18;861,35
01.11.18;866,9
02.11.18;872,55
05.11.18;891,92
06.11.18;903,17
07.11.18;915,69
08.11.18;906,27
09.11.18;893,42
12.11.18;891,46
13.11.18;886,12
14.11.18;866,81
15.11.18;776,93
16.11.18;785,97
19.11.18;750,67
20.11.18;682,83
21.11.18;697,44
22.11.18;686,36
23.11.18;671,61
26.11.18;648,44
27.11.18;630,91
28.11.18;660,71
29.11.18;664,58
30.11.18;648,51
03.12.18;649,35
04.12.18;644,78
05.12.18;637,56
06.12.18;626,4
07.12.18;600,27
10.12.18;608,07
11.12.18;598,97
12.12.18;603,7
13.12.18;603,95
14.12.18;594,55
17.12.18;603,9
18.12.18;611,52
19.12.18;637,66
20.12.18;653,59
21.12.18;656,63
24.12.18;672,34
25.12.18;644,17
26.12.18;644,05
27.12.18;640,27
28.12.18;628,9
31.12.18;643,44
01.01.19;641,67
02.01.19;651,84
03.01.19;653,72
04.01.19;649,57
07.01.19;660,48
08.01.19;664,4
09.01.19;664,01
10.01.19;643,36
11.01.19;631,66
14.01.19;623,56
15.01.19;632,64
16.01.19;631,93
17.01.19;627,29
18.01.19;628,38
21.01.19;623,7
22.01.19;624,09
23.01.19;627,2
24.01.19;626,25
25.01.19;623,61
28.01.19;603,19
29.01.19;601,33
30.01.19;611,71
31.01.19;608,37
01.02.19;609,16
04.02.19;607,34
05.02.19;608,16
06.02.19;601,05
07.02.19;602,03
08.02.19;608,37
11.02.19;630,01
12.02.19;628,74
13.02.19;629,37
14.02.19;625,74
15.02.19;629,5
18.02.19;656,62
19.02.19;677,08
20.02.19;683,24
21.02.19;672,86
22.02.19;679,24
25.02.19;658,08
26.02.19;657,93
27.02.19;661,36
28.02.19;660,93
01.03.19;660,3
04.03.19;640,98
05.03.19;648,76
06.03.19;666,64
07.03.19;668,32
08.03.19;667,65
11.03.19;661,35
12.03.19;667,47
13.03.19;666,36
14.03.19;663,56
